cell_id	target_01	target_02	target_03	target_04	target_05	target_06	target_07	target_08	target_09	target_10	target_11	target_12	target_13	target_14	target_15	target_16
cell_A	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0
cell_B	1	1	1	1	0	0	1	0	0	0	0	0	1	0	-1	0
cell_C	1	1	1	1	0	0	0	1	0	0	0	0	2	0	1	0
cell_D	1	1	1	1	0	0	0	1	0	0	0	0	2	0	1	0
cell_E	1	1	2	2	0	0	0	0	1	0	0	0	3	0	0	1
cell_F	1	1	2	2	0	0	0	0	1	0	0	0	3	0	0	1
cell_G	1	1	2	2	0	0	0	0	0	1	0	0	4	0	0	1
cell_H	1	1	2	2	0	0	0	0	0	1	0	0	4	0	0	-1
cell_I	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0
cell_J	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0
cell_K	0	0	0	0	2	2	0	0	0	0	0	1	0	2	0	0
cell_L	0	0	0	0	2	2	0	0	0	0	0	1	0	2	0	0
